classType,totalArea,FilteredArea,Clusters1,Max1,Mean1,Med1,Clusters2,Max2,Mean2,Med2,Bins,Count,Start,grayMAD,filteredKurtosis,imgPSD Mean1,1stdDev0,imglogPSD Mean1,1stdDev1,imgACF Mean1,1stdDev2,imgPSD Mean2,2stdDev0,imglogPSD Mean2,2stdDev1,imgACF Mean2,2stdDev2
Copy,0.0371152,0.0317368,45,21,9.66667,8,94,29,10.0745,8,24,3247,13,7.66027,2.11317,0.110068,0.0609439,0.494436,0.0918963,0.226878,0.208219,0.100161,0.0585343,0.506757,0.0922053,0.313125,0.211395
Copy,0.0177181,0.0124767,9,10,6.77778,6,43,21,8.69767,8,24,3039,11,10.6225,2.05528,0.111822,0.0629056,0.524703,0.0933542,0.276074,0.207299,0.111222,0.0619245,0.526818,0.0952482,0.322802,0.196975
Copy,0.0266325,0.0217118,32,12,7.84375,7,43,55,22.9767,19,26,3203,12,10.5996,3.14965,0.120094,0.0641956,0.524246,0.091834,0.236678,0.21136,0.12586,0.0618139,0.556134,0.0846996,0.297293,0.187733
Real,0.100348,0.0812981,63,34,17.4127,18,58,20,9.18966,9,63,6754,15,13.559,-0.930264,0.277347,0.100587,0.692417,0.0852913,0.277222,0.102481,0.16172,0.0721428,0.625467,0.0774074,0.24843,0.170636
Real,0.101667,0.0861007,40,14,7.975,7,42,28,12.0238,10,56,7545,15,10.5224,2.10856,0.161007,0.0689313,0.59161,0.0873156,0.254843,0.177566,0.165523,0.076281,0.603494,0.0831272,0.33415,0.133817
Real,0.11647,0.100606,37,12,7.7027,7,40,27,11.8,10,55,6619,16,10.5107,2.10745,0.161138,0.0707247,0.590052,0.087968,0.234839,0.172686,0.153514,0.0776282,0.59411,0.0898486,0.317497,0.133107
Real,0.0365107,0.0307152,103,37,13.3592,12,95,42,13.9053,10,35,4788,12,10.8219,1.96282,0.18473,0.0766211,0.554404,0.101809,0.209002,0.133389,0.157372,0.079605,0.54714,0.0975712,0.219791,0.137096
Real,0.0274075,0.0227188,83,38,11.494,9,63,19,8.33333,7,30,3307,12,13.3793,1.90374,0.217079,0.0951054,0.605955,0.101486,0.155959,0.107286,0.2585,0.0902932,0.646728,0.092028,0.238929,0.0955797
Real,0.0620679,0.0543324,96,44,13.2188,9,29,15,7.72414,7,30,4281,14,25.5261,4.46945,0.145191,0.0764328,0.529982,0.105383,0.229949,0.149104,0.0650917,0.057553,0.439684,0.10446,0.338686,0.239601
Real,0.0249625,0.0204169,113,28,11.5929,10,80,25,10.2625,9,47,4256,11,6.15187,-0.800111,0.19683,0.088497,0.593248,0.103485,0.198144,0.106627,0.160068,0.0911799,0.547149,0.11293,0.225196,0.119006
Real,0.0506455,0.0446858,38,74,36.6842,38,60,25,9.15,7.5,51,5044,13,16.8563,-0.165282,0.185875,0.0861452,0.561266,0.102267,0.213847,0.125695,0.0982574,0.0722498,0.49777,0.103983,0.245228,0.187655
Real,0.0217912,0.0183275,82,78,21.2073,15,49,14,7.85714,7,29,2412,12,12.8132,-1.16207,0.208243,0.0899373,0.576951,0.103142,0.200437,0.102265,0.24712,0.0858885,0.626559,0.0935418,0.20683,0.100258
Real,0.0624882,0.0543925,70,34,12.6857,10,58,23,10.4138,9.5,35,4104,14,18.8452,3.76714,0.118054,0.0634811,0.500886,0.0979514,0.285419,0.188113,0.237073,0.0847018,0.636046,0.0879257,0.228653,0.109833
Real,0.0635273,0.0576023,58,60,18.6724,13.5,125,53,12.64,9,34,5111,14,8.0006,2.07418,0.154517,0.0706521,0.51061,0.102889,0.220454,0.177406,0.197658,0.0931024,0.558053,0.109152,0.165507,0.0934337
Real,0.0476492,0.0399833,87,51,18.1954,15,44,17,8.61364,8,53,3250,14,11.5327,2.00366,0.132059,0.0740301,0.534083,0.104052,0.280899,0.162087,0.249013,0.101066,0.641576,0.098416,0.205922,0.0922177
Real,0.0397077,0.0324876,116,40,13.0431,11,72,32,10.7361,8,24,2308,13,19.1504,2.84531,0.123502,0.0687341,0.485727,0.10537,0.280944,0.166617,0.127129,0.0778743,0.463919,0.11474,0.21115,0.155232
Real,0.0417227,0.0338696,108,49,13.1667,10,74,21,9.66216,9,27,2242,13,18.4655,-1.22785,0.12262,0.0670969,0.479932,0.106918,0.293509,0.175421,0.125629,0.0774766,0.481853,0.110199,0.222503,0.155099
Real,0.124386,0.108956,12,8,6.58333,6.5,27,10,7.07407,7,48,2994,18,15.4791,0.0661507,0.190329,0.0751126,0.610761,0.0835744,0.348347,0.141012,0.144178,0.06646,0.590816,0.0813064,0.307441,0.16736
Real,0.127302,0.111433,22,10,7.22727,7,2,6,6,6,50,3648,18,15.8761,0.0811696,0.233587,0.0897907,0.640436,0.0872495,0.322386,0.111473,0.166917,0.0751895,0.618715,0.081279,0.290701,0.136554
Real,0.107198,0.0914674,20,10,6.9,6,28,10,7.25,7,44,3352,17,15.6511,2.03467,0.205026,0.0843156,0.617418,0.089771,0.314004,0.127595,0.138985,0.0650444,0.583071,0.0815501,0.30756,0.181355
Copy,0.0217358,0.0171045,3,7,6.33333,6,5,7,6.2,6,24,2213,12,13.8566,-1.06995,0.0836318,0.0657349,0.439582,0.128712,0.347092,0.210985,0.212506,0.150254,0.573343,0.15135,0.112582,0.0627814
Copy,0.0325679,0.0275871,7,8,6.42857,6,7,7,6.28571,6,26,4283,12,19.6103,4.05024,0.100306,0.0686869,0.444702,0.125937,0.318231,0.206344,0.0934844,0.0701105,0.431211,0.12732,0.266175,0.198523
Copy,0.032247,0.0243587,0,0,0,0,42,20,8.59524,7.5,26,1886,13,39.3058,2.23839,0.0666311,0.0648335,0.400445,0.12984,0.356434,0.20661,0.0661633,0.0651336,0.409193,0.13586,0.358439,0.223097
Copy,0.0437396,0.0366863,4,7,6.25,6,5,6,6,6,29,3968,13,17.8224,2.0599,0.0763344,0.0663647,0.415711,0.127728,0.299795,0.208598,0.0659036,0.0618258,0.4139,0.133665,0.346082,0.240992
Real,0.142982,0.125123,5,19,8.8,6,1,6,6,6,44,4357,18,25.3042,9.6303,0.188008,0.0756636,0.615091,0.0826824,0.336121,0.140108,0.143164,0.0655403,0.596323,0.0782455,0.320692,0.164957
Real,0.0738942,0.0670317,64,58,15.1719,11,108,42,11.1759,8.5,35,5226,15,7.83175,-0.887653,0.154151,0.0657948,0.525532,0.0935493,0.250504,0.185549,0.20467,0.0851266,0.566744,0.10147,0.219299,0.111374
Real,0.0650905,0.0568453,80,53,16.625,11,79,36,11.2025,8,41,6953,13,11.1388,4.09647,0.173116,0.0887299,0.560155,0.111648,0.21418,0.131949,0.115047,0.0685906,0.517847,0.101332,0.261262,0.184956
Real,0.139409,0.124988,48,26,8.91667,8,9,8,6.66667,7,44,4787,18,0,0,0.176203,0.0873872,0.581378,0.105499,0.308027,0.137298,0.117823,0.0649988,0.553097,0.0926714,0.315582,0.205599
Real,0.0987564,0.0876435,17,9,6.58824,6,29,12,7.65517,7,39,4160,16,11.3461,-0.70717,0.122556,0.0851788,0.483792,0.132093,0.208005,0.149354,0.101645,0.0828363,0.473579,0.133133,0.176968,0.163142
